UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool wear failure,Head dissipation failure,Power failure,Overstrain failure,Random failure
3416,L50595,L,301.4,310.4,39.736632972611055,36.9,133.0,False,False,False,False,False,False
7130,L54309,L,300.6,310.0,40.43513323831146,31.0,107.0,False,False,False,False,False,False
2320,M17179,M,299.2,308.8,41.23105625617661,33.5,185.0,False,False,False,False,False,False
9601,M24460,M,298.9,310.0,39.50949253027682,45.3,58.0,False,False,False,False,False,False
614,L47793,L,298.1,309.9,40.422765862815474,30.0,53.0,False,False,False,False,False,False
4602,M19461,M,303.0,311.1,37.04051835490427,54.3,117.0,True,False,True,False,False,False
5247,L52426,L,300.1,310.1,38.27531841800928,41.0,56.0,False,False,False,False,False,False
7008,L54187,L,300.5,310.6,38.71692136521188,45.2,8.0,False,False,False,False,False,False
9375,M24234,M,297.8,308.5,38.28837943815329,44.7,88.0,False,False,False,False,False,False
1962,L49141,L,297.8,310.1,38.05259518088089,51.2,107.0,False,False,False,False,False,False
7006,M21865,M,300.1,310.7,36.59234892706397,52.9,0.0,False,False,False,False,False,False
5551,M20410,M,302.3,311.9,38.8329756778952,42.3,159.0,False,False,False,False,False,False
8974,L56153,L,296.8,307.4,39.35733730830886,48.3,105.0,False,False,False,False,False,False
4228,L51407,L,302.2,310.8,37.1887079635741,46.9,45.0,False,False,False,False,False,False
1489,L48668,L,298.2,309.1,39.59797974644666,36.3,166.0,False,False,False,False,False,False
8525,L55704,L,298.3,309.4,38.31448812133603,46.2,10.0,False,False,False,False,False,False
4295,M19154,M,301.7,310.1,41.7492514902962,27.3,210.0,False,False,False,False,False,False
6809,L53988,L,301.0,310.7,37.296112397943034,45.0,123.0,False,False,False,False,False,False
4205,M19064,M,302.3,310.9,39.02563260217571,43.2,210.0,False,False,False,False,False,False
7298,L54477,L,300.1,310.5,38.72983346207417,39.8,107.0,False,False,False,False,False,False
4073,L51252,L,301.9,310.6,40.124805295477756,33.4,108.0,False,False,False,False,False,False
9136,H38549,H,300.1,310.1,37.469987990390386,50.3,97.0,False,False,False,False,False,False
8571,H37984,H,297.9,308.7,39.30648801406709,35.9,120.0,False,False,False,False,False,False
8193,L55372,L,299.6,310.9,35.05709628591621,65.2,209.0,True,False,False,False,True,False
4359,H33772,H,302.0,309.9,40.07492981902776,34.5,156.0,False,False,False,False,False,False
5823,M20682,M,301.3,311.0,38.24918299781056,50.2,214.0,False,False,False,False,False,False
8182,L55361,L,299.7,311.2,42.83689998120779,23.7,183.0,False,False,False,False,False,False
4667,M19526,M,300.1,311.5,39.61060464067672,36.6,47.0,False,False,False,False,False,False
263,M15122,M,298.1,308.2,41.66533331199932,26.8,27.0,False,False,False,False,False,False
9944,M24803,M,298.3,308.0,42.02380277890139,26.0,96.0,False,False,False,False,False,False
4296,L51475,L,301.8,310.2,38.17066936798463,40.4,213.0,False,False,False,False,False,False
7969,L55148,L,300.9,312.2,42.555845661906424,23.2,72.0,False,False,False,False,False,False
1870,M16729,M,298.3,308.1,40.3732584763727,32.7,83.0,False,False,False,False,False,False
5712,L52891,L,302.2,311.6,39.30648801406709,35.9,152.0,False,False,False,False,False,False
6409,L53588,L,300.3,309.9,40.01249804748511,31.7,180.0,False,False,False,False,False,False
4084,M18943,M,302.0,310.4,39.585350825778974,36.4,114.0,False,False,False,False,False,False
1469,M16328,M,298.6,309.8,37.66961640367472,44.9,115.0,False,False,False,False,False,False
6247,H35660,H,300.8,310.3,38.17066936798463,46.8,182.0,False,False,False,False,False,False
3791,L50970,L,302.3,310.9,37.57658845611187,48.9,28.0,False,False,False,False,False,False
6594,L53773,L,301.6,310.7,40.97560249709576,29.5,10.0,False,False,False,False,False,False
547,L47726,L,297.5,309.4,42.532340636273474,24.3,110.0,False,False,False,False,False,False
7874,L55053,L,300.7,312.4,38.34057902536163,38.6,56.0,False,False,False,False,False,False
7321,H36734,H,299.8,310.2,37.5632799419859,49.7,161.0,False,False,False,False,False,False
7296,M22155,M,300.1,310.5,36.45545226711637,57.4,99.0,False,False,False,False,False,False
7919,L55098,L,300.8,312.1,38.79432948254165,41.3,173.0,False,False,False,False,False,False
6432,L53611,L,300.1,309.8,36.78314831549904,59.4,26.0,False,False,False,False,False,False
7499,M22358,M,300.2,311.8,41.80908992073375,28.5,184.0,False,False,False,False,False,False
2928,M17787,M,300.7,310.1,37.69615364994153,49.8,165.0,False,False,False,False,False,False
4411,L51590,L,302.5,310.2,39.824615503479755,32.2,64.0,False,False,False,False,False,False
4402,H33815,H,302.2,310.0,38.31448812133603,43.6,38.0,False,False,False,False,False,False
7264,L54443,L,300.4,310.1,37.8021163428716,46.9,19.0,False,False,False,False,False,False
4224,L51403,L,302.0,310.7,40.70626487409524,31.9,37.0,False,False,False,False,False,False
1645,L48824,L,298.0,310.1,40.27406113120453,33.3,121.0,False,False,False,False,False,False
6775,H36188,H,301.2,310.7,41.79712908801273,27.3,35.0,False,False,False,False,False,False
7135,M21994,M,300.5,310.0,37.49666651850535,50.2,119.0,False,False,False,False,False,False
9125,L56304,L,297.4,308.4,37.76241517699841,50.4,70.0,False,False,False,False,False,False
803,L47982,L,300.1,307.8,39.63584236521283,35.0,102.0,False,False,False,False,False,False
5907,L53086,L,300.1,310.3,39.153543900903784,35.6,198.0,False,False,False,False,False,False
6142,L53321,L,300.8,310.8,38.54867053479276,45.7,146.0,False,False,False,False,False,False
6140,L53319,L,300.8,310.7,39.824615503479755,33.4,142.0,False,False,False,False,False,False
3581,L50760,L,301.8,310.6,40.620192023179804,31.9,126.0,False,False,False,False,False,False
7405,L54584,L,299.8,310.8,39.408120990476064,32.2,161.0,False,False,False,False,False,False
3094,L50273,L,300.0,309.3,37.376463182061514,51.2,108.0,False,False,False,False,False,False
3379,L50558,L,301.5,310.7,39.59797974644666,33.1,38.0,False,False,False,False,False,False
4407,L51586,L,302.5,310.3,36.41428291206625,58.5,55.0,True,False,True,False,False,False
4654,M19513,M,303.1,311.1,39.92492955535426,35.5,13.0,False,False,False,False,False,False
6593,M21452,M,301.6,310.7,38.17066936798463,47.8,7.0,False,False,False,False,False,False
1945,L49124,L,298.1,308.1,42.320207938997655,27.3,63.0,False,False,False,False,False,False
9582,L56761,L,299.4,310.6,37.656340767525464,53.1,10.0,False,False,False,False,False,False
9294,L56473,L,298.3,309.1,37.907782842049734,38.0,93.0,False,False,False,False,False,False
2452,L49631,L,299.2,308.7,40.620192023179804,30.5,93.0,False,False,False,False,False,False
5324,M20183,M,303.4,312.7,37.403208418530085,48.4,34.0,False,False,False,False,False,False
2008,L49187,L,300.1,308.4,39.52214569073901,34.4,25.0,False,False,False,False,False,False
564,L47743,L,297.7,309.6,39.102429592034305,35.2,153.0,False,False,False,False,False,False
7379,L54558,L,299.5,310.0,37.255872020394314,52.4,94.0,False,False,False,False,False,False
368,M15227,M,297.6,308.4,39.61060464067672,38.3,93.0,False,False,False,False,False,False
1313,L48492,L,298.9,310.1,38.379682124790975,42.6,164.0,False,False,False,False,False,False
4825,L52004,L,303.4,310.1,38.71692136521188,45.0,16.0,False,False,False,False,False,False
1368,M16227,M,298.8,310.2,39.761790704142086,37.5,75.0,False,False,False,False,False,False
9997,H39410,H,298.9,308.4,40.39801975344831,31.8,17.0,False,False,False,False,False,False
1695,L48874,L,298.0,307.5,40.22437072223753,35.2,31.0,False,False,False,False,False,False
8568,L55747,L,298.0,308.7,38.87158345115362,45.8,114.0,False,False,False,False,False,False
4710,M19569,M,303.4,311.6,38.02630668366309,50.0,163.0,False,False,False,False,False,False
3605,L50784,L,301.8,310.8,39.45883931389772,33.3,190.0,False,False,False,False,False,False
5942,L53121,L,300.6,310.7,37.92097045171708,48.5,78.0,True,False,False,False,False,False
2173,L49352,L,299.5,309.2,42.61455150532503,23.0,15.0,False,False,False,False,False,False
3718,H33131,H,302.3,311.4,37.986839826445156,44.1,51.0,False,False,False,False,False,False
37,M14896,M,298.9,309.2,39.761790704142086,36.7,101.0,False,False,False,False,False,False
4017,L51196,L,302.1,310.9,40.718546143004666,30.3,186.0,False,False,False,False,False,False
4732,L51911,L,303.3,311.6,36.069377593742864,45.1,219.0,True,False,True,False,False,False
4468,L51647,L,302.8,310.6,40.2119385257662,37.9,207.0,False,False,False,False,False,False
6641,L53820,L,300.1,310.4,36.52396473549935,43.2,133.0,False,False,False,False,False,False
3312,L50491,L,301.3,310.4,38.19685850956856,44.7,92.0,False,False,False,False,False,False
9258,M24117,M,298.3,309.1,36.0,58.7,201.0,False,False,False,False,False,False
5455,L52634,L,303.0,312.5,38.22302970723278,40.2,127.0,False,False,False,False,False,False
8324,H37737,H,298.7,309.5,38.118237105091836,40.4,108.0,False,False,False,False,False,False
539,M15398,M,297.4,310.1,38.71692136521188,36.8,88.0,False,False,False,False,False,False
6356,L53535,L,300.1,309.7,38.48376280978771,37.9,34.0,False,False,False,False,False,False
7175,L54354,L,300.2,310.2,39.11521443121589,48.5,15.0,False,False,False,False,False,False
