UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Tool wear [min],Machine failure,Tool wear failure,Head dissipation failure,Power failure,Overstrain failure,Random failure
3416,L50595,L,301.4,310.4,39.736632972611055,133.0,False,False,False,False,False,False
7130,L54309,L,300.6,310.0,40.43513323831146,107.0,False,False,False,False,False,False
2320,M17179,M,299.2,308.8,41.23105625617661,185.0,False,False,False,False,False,False
9601,M24460,M,298.9,310.0,39.50949253027682,58.0,False,False,False,False,False,False
614,L47793,L,298.1,309.9,40.422765862815474,53.0,False,False,False,False,False,False
4602,M19461,M,303.0,311.1,37.04051835490427,117.0,True,False,True,False,False,False
5247,L52426,L,300.1,310.1,38.27531841800928,56.0,False,False,False,False,False,False
7008,L54187,L,300.5,310.6,38.71692136521188,8.0,False,False,False,False,False,False
9375,M24234,M,297.8,308.5,38.28837943815329,88.0,False,False,False,False,False,False
1962,L49141,L,297.8,310.1,38.05259518088089,107.0,False,False,False,False,False,False
7006,M21865,M,300.1,310.7,36.59234892706397,0.0,False,False,False,False,False,False
5551,M20410,M,302.3,311.9,38.8329756778952,159.0,False,False,False,False,False,False
8974,L56153,L,296.8,307.4,39.35733730830886,105.0,False,False,False,False,False,False
4228,L51407,L,302.2,310.8,37.1887079635741,45.0,False,False,False,False,False,False
1489,L48668,L,298.2,309.1,39.59797974644666,166.0,False,False,False,False,False,False
8525,L55704,L,298.3,309.4,38.31448812133603,10.0,False,False,False,False,False,False
4295,M19154,M,301.7,310.1,41.7492514902962,210.0,False,False,False,False,False,False
6809,L53988,L,301.0,310.7,37.29611239794304,123.0,False,False,False,False,False,False
4205,M19064,M,302.3,310.9,39.02563260217571,210.0,False,False,False,False,False,False
7298,L54477,L,300.1,310.5,38.72983346207417,107.0,False,False,False,False,False,False
4073,L51252,L,301.9,310.6,40.12480529547776,108.0,False,False,False,False,False,False
9136,H38549,H,300.1,310.1,37.46998799039039,97.0,False,False,False,False,False,False
8571,H37984,H,297.9,308.7,39.30648801406709,120.0,False,False,False,False,False,False
8193,L55372,L,299.6,310.9,35.05709628591621,209.0,True,False,False,False,True,False
4359,H33772,H,302.0,309.9,40.07492981902776,156.0,False,False,False,False,False,False
5823,M20682,M,301.3,311.0,38.24918299781056,214.0,False,False,False,False,False,False
8182,L55361,L,299.7,311.2,42.83689998120779,183.0,False,False,False,False,False,False
4667,M19526,M,300.1,311.5,39.61060464067672,47.0,False,False,False,False,False,False
263,M15122,M,298.1,308.2,41.66533331199932,27.0,False,False,False,False,False,False
9944,M24803,M,298.3,308.0,42.02380277890139,96.0,False,False,False,False,False,False
4296,L51475,L,301.8,310.2,38.17066936798463,213.0,False,False,False,False,False,False
7969,L55148,L,300.9,312.2,42.55584566190642,72.0,False,False,False,False,False,False
1870,M16729,M,298.3,308.1,40.3732584763727,83.0,False,False,False,False,False,False
5712,L52891,L,302.2,311.6,39.30648801406709,152.0,False,False,False,False,False,False
6409,L53588,L,300.3,309.9,40.01249804748511,180.0,False,False,False,False,False,False
4084,M18943,M,302.0,310.4,39.585350825778974,114.0,False,False,False,False,False,False
1469,M16328,M,298.6,309.8,37.66961640367472,115.0,False,False,False,False,False,False
6247,H35660,H,300.8,310.3,38.17066936798463,182.0,False,False,False,False,False,False
3791,L50970,L,302.3,310.9,37.57658845611187,28.0,False,False,False,False,False,False
6594,L53773,L,301.6,310.7,40.97560249709576,10.0,False,False,False,False,False,False
547,L47726,L,297.5,309.4,42.532340636273474,110.0,False,False,False,False,False,False
7874,L55053,L,300.7,312.4,38.34057902536163,56.0,False,False,False,False,False,False
7321,H36734,H,299.8,310.2,37.5632799419859,161.0,False,False,False,False,False,False
7296,M22155,M,300.1,310.5,36.45545226711637,99.0,False,False,False,False,False,False
7919,L55098,L,300.8,312.1,38.79432948254165,173.0,False,False,False,False,False,False
6432,L53611,L,300.1,309.8,36.78314831549904,26.0,False,False,False,False,False,False
7499,M22358,M,300.2,311.8,41.80908992073375,184.0,False,False,False,False,False,False
2928,M17787,M,300.7,310.1,37.69615364994153,165.0,False,False,False,False,False,False
4411,L51590,L,302.5,310.2,39.82461550347976,64.0,False,False,False,False,False,False
4402,H33815,H,302.2,310.0,38.31448812133603,38.0,False,False,False,False,False,False
7264,L54443,L,300.4,310.1,37.8021163428716,19.0,False,False,False,False,False,False
4224,L51403,L,302.0,310.7,40.70626487409524,37.0,False,False,False,False,False,False
1645,L48824,L,298.0,310.1,40.27406113120453,121.0,False,False,False,False,False,False
6775,H36188,H,301.2,310.7,41.79712908801273,35.0,False,False,False,False,False,False
7135,M21994,M,300.5,310.0,37.49666651850535,119.0,False,False,False,False,False,False
9125,L56304,L,297.4,308.4,37.76241517699841,70.0,False,False,False,False,False,False
803,L47982,L,300.1,307.8,39.63584236521283,102.0,False,False,False,False,False,False
5907,L53086,L,300.1,310.3,39.15354390090378,198.0,False,False,False,False,False,False
6142,L53321,L,300.8,310.8,38.54867053479276,146.0,False,False,False,False,False,False
6140,L53319,L,300.8,310.7,39.82461550347976,142.0,False,False,False,False,False,False
3581,L50760,L,301.8,310.6,40.62019202317981,126.0,False,False,False,False,False,False
7405,L54584,L,299.8,310.8,39.408120990476064,161.0,False,False,False,False,False,False
3094,L50273,L,300.0,309.3,37.37646318206152,108.0,False,False,False,False,False,False
3379,L50558,L,301.5,310.7,39.59797974644666,38.0,False,False,False,False,False,False
4407,L51586,L,302.5,310.3,36.41428291206625,55.0,True,False,True,False,False,False
4654,M19513,M,303.1,311.1,39.92492955535426,13.0,False,False,False,False,False,False
6593,M21452,M,301.6,310.7,38.17066936798463,7.0,False,False,False,False,False,False
